brightness,contrast,saturation,sharpness,dominant_color_1,dominant_color_2,dominant_color_3,image_name,raw_rating,rating
134.48,77.36,38.0,2251.0,"[116, 105, 99]","[220, 217, 216]","[54, 43, 40]",living_1217.jpg,375.126,1.56
155.81,70.36,79.64,3221.65,"[171, 146, 121]","[67, 47, 33]","[226, 212, 197]",living_1218.jpg,529.119,1.82
157.16,64.03,27.96,2370.97,"[209, 210, 208]","[153, 142, 130]","[56, 51, 48]",living_1219.jpg,393.018,1.59
122.14,66.02,47.43,3520.94,"[209, 208, 200]","[58, 50, 44]","[135, 129, 119]",living_122.jpg,563.4794999999999,1.88
169.17,58.55,32.98,2962.78,"[196, 204, 207]","[52, 50, 49]","[137, 130, 122]",living_1220.jpg,483.52200000000005,1.75
136.27,66.96,140.37,1957.99,"[180, 116, 69]","[73, 40, 27]","[205, 205, 198]",living_1221.jpg,345.23849999999993,1.51
126.23,65.68,46.19,2113.97,"[115, 119, 119]","[204, 207, 201]","[37, 44, 49]",living_1222.jpg,352.81049999999993,1.52
119.65,62.86,79.35,3835.83,"[133, 118, 99]","[37, 27, 17]","[193, 191, 183]",living_1223.jpg,614.6535,1.97
157.44,67.57,59.29,1923.62,"[165, 153, 147]","[87, 58, 46]","[240, 243, 240]",living_1224.jpg,331.18799999999993,1.49
148.84,70.21,40.14,1527.52,"[219, 219, 219]","[76, 66, 58]","[160, 150, 143]",living_1225.jpg,268.00649999999996,1.38
146.23,77.71,59.21,887.59,"[239, 237, 224]","[28, 22, 21]","[150, 132, 110]",living_1226.jpg,175.611,1.22
133.06,51.3,75.09,2203.74,"[141, 125, 104]","[198, 183, 165]","[80, 64, 47]",living_1227.jpg,369.4785,1.55
137.6,65.33,37.81,1511.14,"[135, 135, 127]","[51, 57, 64]","[216, 215, 206]",living_1228.jpg,262.78200000000004,1.37
191.73,50.87,47.43,1527.94,"[108, 86, 52]","[188, 177, 155]","[235, 237, 236]",living_1229.jpg,272.6955,1.39
163.26,61.49,50.82,2108.96,"[87, 62, 57]","[213, 207, 196]","[155, 137, 120]",living_123.jpg,357.67949999999996,1.53
180.57,54.38,39.69,1468.15,"[118, 95, 70]","[187, 182, 173]","[247, 246, 244]",living_1230.jpg,261.4185,1.37
188.97,53.27,53.27,2234.4,"[97, 74, 56]","[180, 160, 136]","[219, 212, 198]",living_1231.jpg,379.48650000000004,1.57
189.11,47.5,50.09,1219.39,"[186, 172, 156]","[241, 243, 242]","[129, 108, 78]",living_1232.jpg,225.9135,1.31
170.93,66.03,43.31,2430.64,"[158, 150, 134]","[216, 213, 203]","[41, 40, 25]",living_1233.jpg,406.63649999999996,1.61
112.75,53.84,114.46,1962.6,"[139, 110, 80]","[54, 42, 28]","[170, 195, 175]",living_1235.jpg,336.5475,1.5
140.04,59.49,35.03,2092.73,"[146, 135, 128]","[57, 48, 45]","[200, 195, 194]",living_1236.jpg,349.09349999999995,1.52
161.1,51.58,7.85,1110.51,"[198, 198, 198]","[75, 74, 71]","[133, 133, 130]",living_1237.jpg,199.65599999999998,1.26
186.08,72.0,66.82,1511.24,"[219, 212, 208]","[162, 121, 83]","[49, 23, 12]",living_1238.jpg,275.421,1.39
182.66,60.2,47.08,4561.35,"[227, 223, 215]","[108, 85, 62]","[178, 168, 152]",living_1239.jpg,727.6935,2.16
151.56,67.34,21.04,2766.97,"[65, 62, 56]","[237, 237, 235]","[166, 164, 157]",living_124.jpg,451.03649999999993,1.69
116.34,54.34,46.68,2451.53,"[61, 57, 57]","[142, 130, 120]","[188, 186, 185]",living_1240.jpg,400.3335,1.6
127.32,65.86,33.57,3474.13,"[197, 194, 191]","[45, 44, 39]","[131, 125, 117]",living_1241.jpg,555.1320000000001,1.87
151.2,74.1,134.19,3500.62,"[78, 37, 20]","[171, 118, 71]","[218, 212, 206]",living_1242.jpg,579.0165,1.91
213.9,46.6,24.29,2140.74,"[231, 229, 227]","[86, 99, 94]","[187, 162, 153]",living_1243.jpg,363.82949999999994,1.54
203.98,63.97,77.05,1572.91,"[236, 217, 196]","[188, 151, 116]","[116, 65, 41]",living_1244.jpg,287.68649999999997,1.41
174.21,53.22,47.68,2129.85,"[179, 170, 152]","[114, 95, 74]","[249, 247, 244]",living_1245.jpg,360.74399999999997,1.54
170.84,109.27,39.47,1438.87,"[253, 254, 254]","[13, 20, 24]","[105, 125, 126]",living_1246.jpg,263.7675,1.37
141.34,72.82,144.01,1594.07,"[237, 236, 226]","[76, 41, 14]","[162, 128, 82]",living_1247.jpg,292.83599999999996,1.42
151.16,59.98,63.25,1343.43,"[161, 153, 129]","[94, 78, 57]","[251, 250, 247]",living_1248.jpg,242.673,1.34
177.37,62.13,47.03,4661.96,"[231, 224, 216]","[86, 96, 64]","[173, 168, 145]",living_1249.jpg,742.2735,2.19
120.61,61.15,71.62,3902.34,"[224, 215, 208]","[145, 128, 113]","[68, 53, 42]",living_125.jpg,623.358,1.98
166.22,44.52,31.07,686.17,"[173, 159, 146]","[109, 97, 89]","[200, 196, 191]",living_1250.jpg,139.197,1.16
154.44,77.78,103.98,3696.94,"[156, 106, 79]","[247, 241, 226]","[90, 55, 38]",living_1251.jpg,604.9709999999999,1.95
179.97,60.57,31.99,2685.5,"[226, 223, 220]","[89, 82, 79]","[166, 158, 152]",living_1252.jpg,443.7045,1.68
170.41,55.14,43.46,1165.54,"[175, 167, 155]","[102, 81, 61]","[247, 246, 243]",living_1253.jpg,215.18249999999998,1.29
88.9,72.59,46.64,2369.77,"[114, 114, 112]","[38, 33, 28]","[254, 254, 254]",living_1254.jpg,386.68499999999995,1.58
152.88,71.88,67.72,1804.97,"[165, 142, 108]","[225, 216, 193]","[59, 50, 42]",living_1255.jpg,314.6175,1.46
117.66,60.4,84.59,2050.25,"[39, 29, 21]","[191, 171, 155]","[114, 93, 77]",living_1256.jpg,346.93499999999995,1.51
121.92,61.81,31.88,1589.1,"[114, 115, 118]","[246, 248, 249]","[53, 46, 42]",living_1257.jpg,270.7065,1.38
196.12,65.72,22.23,2447.41,"[247, 247, 247]","[75, 78, 83]","[178, 176, 168]",living_1258.jpg,409.722,1.62
159.44,57.32,67.14,1954.32,"[156, 140, 117]","[195, 197, 194]","[76, 55, 32]",living_126.jpg,335.73299999999995,1.49
194.32,49.96,46.13,1471.73,"[197, 180, 164]","[235, 235, 233]","[120, 95, 73]",living_1260.jpg,264.321,1.37
102.66,67.55,135.52,1546.21,"[227, 241, 241]","[60, 38, 23]","[143, 105, 71]",living_1261.jpg,277.791,1.4
160.5,69.19,26.98,3585.31,"[229, 228, 226]","[65, 54, 49]","[157, 152, 148]",living_1262.jpg,576.2969999999999,1.9
120.76,73.93,73.29,2865.36,"[207, 194, 174]","[25, 27, 18]","[111, 100, 77]",living_1263.jpg,470.00100000000003,1.72
191.62,52.03,41.59,1919.93,"[234, 240, 240]","[183, 179, 170]","[100, 88, 59]",living_1264.jpg,330.7755,1.49
169.76,67.37,82.84,1600.61,"[145, 114, 78]","[58, 40, 24]","[213, 198, 171]",living_1265.jpg,288.087,1.41
170.14,58.27,113.13,1283.84,"[167, 134, 105]","[122, 45, 18]","[207, 182, 156]",living_1266.jpg,243.807,1.34
107.87,58.25,57.85,2082.72,"[64, 58, 46]","[222, 221, 210]","[129, 125, 109]",living_1267.jpg,346.0035,1.51
171.4,70.29,74.89,1895.26,"[163, 142, 115]","[245, 246, 244]","[72, 39, 21]",living_1269.jpg,331.776,1.49
202.01,72.42,53.84,1422.76,"[175, 167, 136]","[252, 251, 249]","[122, 81, 45]",living_127.jpg,262.6545,1.37
125.41,76.32,80.83,4582.82,"[73, 50, 42]","[248, 246, 243]","[160, 137, 124]",living_1270.jpg,729.8069999999999,2.16
107.55,55.18,36.4,2622.18,"[115, 111, 108]","[49, 42, 37]","[203, 204, 205]",living_1271.jpg,423.19649999999996,1.64
118.36,43.74,87.99,1912.13,"[73, 60, 42]","[130, 111, 86]","[174, 159, 134]",living_1272.jpg,324.33299999999997,1.47
170.97,58.69,63.64,2655.47,"[114, 91, 67]","[184, 168, 147]","[250, 249, 247]",living_1273.jpg,442.3155,1.68
150.75,52.61,31.11,1611.12,"[206, 204, 202]","[143, 136, 125]","[86, 80, 68]",living_1274.jpg,276.83849999999995,1.39
98.79,49.06,137.46,1153.48,"[157, 117, 75]","[28, 22, 18]","[93, 64, 43]",living_1275.jpg,215.8185,1.29
101.41,52.23,54.81,1771.86,"[155, 150, 153]","[35, 26, 23]","[105, 97, 95]",living_1276.jpg,297.0465,1.43
216.9,71.16,48.24,629.79,"[254, 253, 253]","[140, 88, 55]","[183, 141, 124]",living_1277.jpg,144.9135,1.17
165.22,63.37,15.83,1935.73,"[37, 34, 36]","[205, 205, 204]","[145, 142, 142]",living_1278.jpg,327.0225,1.48
165.25,84.48,43.56,1124.0,"[64, 59, 49]","[246, 249, 249]","[151, 158, 145]",living_1279.jpg,212.5935,1.28
153.55,63.74,85.71,5380.92,"[80, 54, 37]","[211, 197, 181]","[152, 122, 94]",living_1281.jpg,852.5880000000001,2.37
160.87,59.03,76.7,1497.19,"[214, 204, 189]","[77, 54, 41]","[153, 121, 97]",living_1282.jpg,269.0685,1.38
92.37,63.7,71.84,3539.24,"[39, 33, 25]","[194, 191, 179]","[108, 102, 84]",living_1283.jpg,565.0725,1.88
167.36,60.59,34.6,2306.77,"[173, 156, 148]","[219, 215, 212]","[68, 58, 54]",living_1284.jpg,385.39799999999997,1.58
91.68,57.19,47.51,1208.36,"[93, 92, 89]","[199, 204, 195]","[32, 27, 25]",living_1285.jpg,210.71099999999998,1.28
125.48,68.6,55.58,4809.3,"[239, 243, 234]","[117, 124, 107]","[44, 48, 28]",living_1287.jpg,758.8439999999999,2.21
156.39,81.38,149.14,1788.82,"[186, 147, 100]","[233, 222, 202]","[95, 40, 10]",living_1288.jpg,326.35949999999997,1.48
178.0,42.07,25.63,1434.91,"[219, 215, 211]","[172, 164, 155]","[116, 101, 90]",living_1289.jpg,252.0915,1.35
134.44,68.87,158.55,4041.3,"[147, 112, 59]","[67, 32, 11]","[185, 186, 156]",living_129.jpg,660.474,2.05
168.25,75.73,65.24,2100.16,"[152, 150, 140]","[245, 248, 250]","[93, 70, 45]",living_1291.jpg,361.4069999999999,1.54
210.9,38.36,22.28,1290.51,"[202, 195, 180]","[147, 136, 120]","[236, 234, 228]",living_1293.jpg,234.30749999999998,1.32
153.64,58.51,35.65,2178.79,"[204, 195, 190]","[50, 44, 41]","[130, 117, 109]",living_1294.jpg,363.9885,1.54
103.68,70.33,73.35,1840.17,"[212, 210, 217]","[51, 34, 29]","[137, 132, 130]",living_1295.jpg,313.1295,1.46
146.44,97.05,40.79,1773.3,"[116, 110, 98]","[249, 250, 248]","[30, 25, 19]",living_1296.jpg,308.637,1.45
